,site_id,site_name,geometry
4330,1319,BOURKE STREET NR SPRING STREET,POINT (144.972868934798 -37.8113998376128)
4664,1318,BOURKE STREET NR SPRING STREET,POINT (144.972836935459 -37.811409836935)
2005,3386,HODDLE/ALBERT/ELIZABETH,POINT (144.991122931617 -37.8112348383977)
3345,2933,VICTORIA/CLARENDON,POINT (144.983747933219 -37.8092638378496)
3739,2989,KAVANAGH BTW POWER & SOUTHBANK,POINT (144.964495935528 -37.8239308364732)
2932,4443,VICTORIA/WELLINGTON/POWLETT,POINT (144.985586932755 -37.8094778376427)
2896,3860,CHURCH/BALMAIN/COTTER,POINT (144.99708892949 -37.8303958388492)
247,4538,ST KILDA/KINGSWAY,POINT (144.975543931842 -37.8362048371007)
1878,4587,RUSSELL/LITTLE COLLINS,POINT (144.96855593586 -37.8137708366105)
2408,1306,ALEXANDRA AVENUE / YARRA STREET,POINT (144.993457929365 -37.8340938383974)
728,4594,BOURKE/EXHIBITION,POINT (144.97056993591 -37.8120738366764)
1844,3865,LENNOX NR YORK,POINT (144.995398931031 -37.8135578391065)
1215,4880,CITY/SOUTHBANK,POINT (144.963957936089 -37.822687836353)
911,4801,BRIDGE/CHURCH,POINT (144.99917592982 -37.8185708392406)
4822,2443,WGF/POWER OB,POINT (144.964587935003 -37.8270318364118)
